col1,col2,cluster
188.7298,153.8305,2
210.9481,86.4186,0
77.0275,53.104,1
182.9244,136.5419,2
81.9537,15.1895,1
143.6452,126.7577,2
198.6909,34.8083,0
91.6829,-9.3966,1
187.0904,95.6916,0
75.1133,19.7702,1
88.4505,36.9748,1
84.3749,-61.0577,1
103.9638,-19.0943,1
205.408,112.8692,0
103.5975,4.9368,1
131.9645,-32.907,1
91.4312,-23.1288,1
89.6228,-0.3936,1
123.9895,30.1157,1
102.4984,-29.4945,1
169.5743,76.2649,0
175.6912,71.2769,0
153.5733,128.3581,2
152.2892,121.488,2
169.0133,71.6722,0
183.1884,94.8567,0
103.0521,23.2901,1
100.7565,50.2192,1
150.1228,113.5789,2
133.4207,121.2527,2
101.6526,63.6574,1
174.6151,86.9967,0
114.9824,-12.2313,1
167.132,144.1198,2
115.451,-23.8732,1
94.6845,-28.2876,1
82.4098,-7.1895,1
168.3285,129.089,2
167.4447,95.0863,0
158.0967,99.5634,0
98.1236,39.0893,1
111.6244,20.7431,1
106.4012,-9.8887,1
128.6721,27.3593,1
204.849,107.2183,0
166.4049,95.4505,0
84.0451,5.044,1
179.6802,145.0988,2
104.1146,45.0757,1
158.1425,72.8184,0
192.7462,98.0808,0
89.4838,28.5447,1
190.2476,121.5278,2
159.6632,56.3679,0
129.7108,10.8326,1
164.0491,96.9743,0
118.635,40.1986,1
187.5505,108.1807,0
93.8768,4.2343,1
156.6759,90.4878,0
156.4152,121.5958,2
169.3592,85.3089,0
162.9362,91.761,0
125.2472,17.878,1
85.5005,-43.3136,1
152.6605,92.7729,0
116.6247,27.7011,1
82.0633,-22.082,1
167.4639,67.7923,0
75.4533,-6.2115,1
128.9112,98.5115,0
177.2937,77.6318,0
180.8728,144.8211,2
84.5311,-43.2943,1
104.1283,-6.6793,1
163.0724,132.7103,2
157.0122,112.7695,2
159.6233,116.7448,2
105.3238,-8.7944,1
125.6251,76.9529,0
159.754,95.4657,0
127.0003,-13.3739,1
161.1229,74.489,0
152.1131,165.6515,2
99.3825,-59.4169,1
134.0223,126.8498,2
182.6294,135.3543,2
120.9826,49.6599,1
93.9604,29.6742,1
94.2664,38.6796,1
95.5193,61.4978,1
169.5856,75.8891,0
155.7984,161.2738,2
101.3998,18.6919,1
108.1199,148.1783,2
180.1379,122.6634,2
101.2976,-12.0745,1
159.1145,137.0092,2
201.1082,91.5975,0
204.9666,164.9497,2
